name,rating,reviews,price,product_url,category,raw_text
Samsung Galaxy A26 6/128GB Black,4.9,84,134990,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a26-8-128-6-7-50-black-sm-a266bzkdskz-289288,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A26 6/128GB Black 4.9 (84) 134 990 ₸ до + 6 749 бонусов 11 250 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A17 6/128GB/6.7/50 Черный,5.0,18,109890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a17-6-128gb-6-7-50-cherniy-294023,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A17 6/128GB/6.7/50 Черный 5 (18) 109 890 ₸ до + 5 494 бонусов 9 158 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A07 4/64 Black,5.0,24,64990,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a07-4-64-6-7-50-black-sm-a075fzkdskz-293251,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A07 4/64 Black 5 (24) 64 990 ₸ до + 3 249 бонусов 5 416 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A26 8/256GB Black,4.9,84,154990,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a26-8-256-6-7-50-black-sm-a266bzkhskz-289289,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A26 8/256GB Black 4.9 (84) 154 990 ₸ до + 7 749 бонусов 12 916 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A56 8/128 Awesome Graphite,5.0,187,209990,https://www.technodom.kz/p/smartfon-samsung-galaxy-a56-128-awesome-graphite-sm-a566ezkaskz-289306,smartphones,0 - 0 - 24 -9% Смартфон Samsung Galaxy A56 8/128 Awesome Graphite 5 (187) 209 990 ₸ 229 890 ₸ до + 10 499 бонусов 17 500 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy S25 12/256GB Navy,5.0,50,404890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-s25-122566250-navy-sm-s931bdbcskz-288438,smartphones,0 - 0 - 24 -30% Смартфон Samsung Galaxy S25 12/256GB Navy 5 (50) 404 890 ₸ 574 890 ₸ до + 20 244 бонусов 33 741 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X5C Plus 4/128/6,7/50 Midnight Black",5.0,6,59990,https://www.technodom.kz/p/smartfon-honor-x5c-plus-41286750-midnight-black-293704,smartphones,"0 - 0 - 24 -14% Смартфон HONOR X5C Plus 4/128/6,7/50 Midnight Black 5 (6) 59 990 ₸ 69 990 ₸ до + 2 999 бонусов 5 000 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Apple iPhone 15 6/128GB Black (MTP03),4.8,182,424990,https://www.technodom.kz/p/smartfon-apple-iphone-15-128gb-black-mtp03-274372,smartphones,0 - 0 - 24 -7% Смартфон Apple iPhone 15 6/128GB Black (MTP03) 4.8 (182) 424 990 ₸ 454 990 ₸ 35 416 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A07 6/128 Green,5.0,24,74990,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a07-6-128-6-7-50-green-sm-a075fzghskz-293255,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A07 6/128 Green 5 (24) 74 990 ₸ до + 3 749 бонусов 6 250 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A56 8/256 Awesome Lightgray,5.0,187,229990,https://www.technodom.kz/p/smartfon-samsung-galaxy-a56-256-awesome-lightgray-sm-a566ezacskz-289303,smartphones,0 - 0 - 24 -8% Смартфон Samsung Galaxy A56 8/256 Awesome Lightgray 5 (187) 229 990 ₸ 249 890 ₸ до + 11 499 бонусов 19 166 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy S25 12/256GB Silver Shadow,5.0,50,404890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-s25-122566250-silver-shadow-sm-s931bzscskz-288445,smartphones,0 - 0 - 24 -30% Смартфон Samsung Galaxy S25 12/256GB Silver Shadow 5 (50) 404 890 ₸ 574 890 ₸ до + 20 244 бонусов 33 741 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A56 8/128 Awesome Lightgray,5.0,187,209990,https://www.technodom.kz/p/smartfon-samsung-galaxy-a56-128-awesome-lightgray-sm-a566ezaaskz-289302,smartphones,0 - 0 - 24 -9% Смартфон Samsung Galaxy A56 8/128 Awesome Lightgray 5 (187) 209 990 ₸ 229 890 ₸ до + 10 499 бонусов 17 500 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
